message_id,timestamp_utc,text
393741,2025-09-18T18:21:59+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ADAUSDT @ $0.95: Buy $102,644"
393740,2025-09-18T18:16:24+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on BTCUSDT @ $118,465.50: Buy $80,793"
393739,2025-09-18T18:08:31+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on BTCUSDT @ $118,275.80: Buy $88,707"
393738,2025-09-18T17:49:41+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on NEARUSDT @ $3.15: Buy $53,990"
393737,2025-09-18T17:30:22+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,584: Sell $87,305"
393736,2025-09-18T17:25:20+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,589: Sell $91,790"
393735,2025-09-18T17:21:38+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,643: Buy $50,804"
393734,2025-09-18T17:11:08+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on BTCUSDT @ $118,023: Buy $65,621"
393733,2025-09-18T17:11:08+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,631: Buy $50,942"
393732,2025-09-18T17:10:31+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on SOLUSDT @ $253.93: Buy $50,278"
393731,2025-09-18T17:10:31+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on DOGEUSDT @ $0.2877: Buy $50,400"
393730,2025-09-18T17:10:29+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SOLUSDT @ $254: Buy $61,988"
393729,2025-09-18T17:10:23+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on 1000PEPEUSDT @ $0.01: Buy $105,796"
393728,2025-09-18T17:10:22+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SOLUSDT @ $254: Buy $75,498"
393727,2025-09-18T17:05:40+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on BNBUSDT @ $1,000: Buy $100,342"
393726,2025-09-18T17:05:32+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on SOLUSDT @ $252.55: Buy $50,510"
393725,2025-09-18T16:49:39+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SOLUSDT @ $251: Buy $201,509"
393724,2025-09-18T16:48:31+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SOLUSDT @ $251: Buy $150,414"
393723,2025-09-18T16:45:06+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,660: Buy $2,621,387"
393722,2025-09-18T16:44:47+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on BTCUSDT @ $118,286.50: Buy $65,886"
393721,2025-09-18T16:42:39+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,649: Buy $56,435"
393720,2025-09-18T16:42:38+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SOLUSDT @ $250: Buy $128,702"
393719,2025-09-18T16:41:26+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on BTCUSDT @ $118,271.70: Buy $59,136"
